Area,Perimeter,Major axis length,Minor axis length,Aspect ratio,Eccentricity,Convex area,Equivalent diameter,Class
28395,610,208,174,1.2,0.55,28715,190,6
28734,638,201,183,1.1,0.41,29172,191,6
29380,624,213,176,1.21,0.56,29690,193,6
30008,646,211,183,1.15,0.5,30724,195,6
30140,620,202,190,1.06,0.33,30417,196,6
30279,635,213,182,1.17,0.52,30600,196,6
30477,670,211,184,1.15,0.49,30970,197,6
30519,630,213,183,1.17,0.51,30847,197,6
30685,636,214,183,1.17,0.51,31044,198,6
30834,632,217,181,1.2,0.55,31120,198,6
30917,641,214,184,1.16,0.5,31280,198,6
31091,639,210,188,1.12,0.45,31458,199,6
31107,641,215,185,1.16,0.51,31423,199,6
31158,643,216,184,1.18,0.53,31492,199,6
31158,641,212,187,1.13,0.47,31474,199,6
31178,637,213,187,1.14,0.48,31520,199,6
31202,644,216,184,1.17,0.52,31573,199,6
31203,640,215,185,1.16,0.51,31558,199,6
31272,639,212,188,1.13,0.47,31593,200,6
31335,635,217,184,1.18,0.53,31599,200,6
31374,636,220,182,1.21,0.56,31604,200,6
31530,639,214,188,1.14,0.48,31791,200,6
31573,674,217,185,1.17,0.52,32197,200,6
31637,657,230,176,1.31,0.65,32045,201,6
31675,657,237,171,1.38,0.69,32009,201,6
31682,647,210,192,1.09,0.4,32026,201,6
31703,656,216,187,1.15,0.5,32093,201,6
31748,642,220,184,1.19,0.55,32020,201,6
31768,651,221,183,1.21,0.56,32173,201,6
31811,642,224,181,1.24,0.59,32052,201,6
31821,650,214,190,1.13,0.46,32168,201,6
31823,663,223,182,1.23,0.58,32274,201,6
31837,656,225,180,1.25,0.6,32238,201,6
31915,641,216,188,1.15,0.49,32184,202,6
31972,640,214,191,1.12,0.45,32246,202,6
31992,640,213,191,1.11,0.44,32258,202,6
31994,655,212,192,1.1,0.42,32391,202,6
32015,654,213,192,1.11,0.43,32375,202,6
32026,654,231,177,1.31,0.64,32349,202,6
32038,645,224,182,1.23,0.59,32308,202,6
32044,653,216,189,1.14,0.49,32395,202,6
32057,642,216,189,1.14,0.48,32301,202,6
32066,669,236,173,1.36,0.68,32481,202,6
32109,664,224,182,1.23,0.58,32567,202,6
32114,649,223,184,1.21,0.56,32393,202,6
32167,655,218,188,1.16,0.5,32521,202,6
32213,658,221,185,1.2,0.55,32585,203,6
32218,654,223,184,1.21,0.56,32566,203,6
32233,665,221,186,1.19,0.54,32710,203,6
32251,644,221,186,1.19,0.54,32514,203,6
32258,655,221,186,1.19,0.54,32612,203,6
32262,652,223,185,1.21,0.56,32563,203,6
32279,647,218,189,1.16,0.5,32623,203,6
32323,650,217,190,1.15,0.49,32615,203,6
