Area,Perimeter,Major axis length,Minor axis length,Aspect ratio,Eccentricity,Convex area,Equivalent diameter,Class
28395,610,208,174,1.2,0.55,28715,190,SEKER
28734,638,201,183,1.1,0.41,29172,191,SEKER
29380,624,213,176,1.21,0.56,29690,193,SEKER
30008,646,211,183,1.15,0.5,30724,195,SEKER
30140,620,202,190,1.06,0.33,30417,196,SEKER
30279,635,213,182,1.17,0.52,30600,196,SEKER
30477,670,211,184,1.15,0.49,30970,197,SEKER
30519,630,213,183,1.17,0.51,30847,197,SEKER
30685,636,214,183,1.17,0.51,31044,198,SEKER
30834,632,217,181,1.2,0.55,31120,198,SEKER
30917,641,214,184,1.16,0.5,31280,198,SEKER
31091,639,210,188,1.12,0.45,31458,199,SEKER
31107,641,215,185,1.16,0.51,31423,199,SEKER
31158,643,216,184,1.18,0.53,31492,199,SEKER
31158,641,212,187,1.13,0.47,31474,199,SEKER
31178,637,213,187,1.14,0.48,31520,199,SEKER
31202,644,216,184,1.17,0.52,31573,199,SEKER
31203,640,215,185,1.16,0.51,31558,199,SEKER
31272,639,212,188,1.13,0.47,31593,200,SEKER
31335,635,217,184,1.18,0.53,31599,200,SEKER
31374,636,220,182,1.21,0.56,31604,200,SEKER
31530,639,214,188,1.14,0.48,31791,200,SEKER
31573,674,217,185,1.17,0.52,32197,200,SEKER
31637,657,230,176,1.31,0.65,32045,201,SEKER
31675,657,237,171,1.38,0.69,32009,201,SEKER
31682,647,210,192,1.09,0.4,32026,201,SEKER
31703,656,216,187,1.15,0.5,32093,201,SEKER
31748,642,220,184,1.19,0.55,32020,201,SEKER
31768,651,221,183,1.21,0.56,32173,201,SEKER
31811,642,224,181,1.24,0.59,32052,201,SEKER
31821,650,214,190,1.13,0.46,32168,201,SEKER
31823,663,223,182,1.23,0.58,32274,201,SEKER
31837,656,225,180,1.25,0.6,32238,201,SEKER
31915,641,216,188,1.15,0.49,32184,202,SEKER
31972,640,214,191,1.12,0.45,32246,202,SEKER
31992,640,213,191,1.11,0.44,32258,202,SEKER
31994,655,212,192,1.1,0.42,32391,202,SEKER
32015,654,213,192,1.11,0.43,32375,202,SEKER
32026,654,231,177,1.31,0.64,32349,202,SEKER
32038,645,224,182,1.23,0.59,32308,202,SEKER
32044,653,216,189,1.14,0.49,32395,202,SEKER
32057,642,216,189,1.14,0.48,32301,202,SEKER
32066,669,236,173,1.36,0.68,32481,202,SEKER
32109,664,224,182,1.23,0.58,32567,202,SEKER
32114,649,223,184,1.21,0.56,32393,202,SEKER
32167,655,218,188,1.16,0.5,32521,202,SEKER
32213,658,221,185,1.2,0.55,32585,203,SEKER
32218,654,223,184,1.21,0.56,32566,203,SEKER
32233,665,221,186,1.19,0.54,32710,203,SEKER
32251,644,221,186,1.19,0.54,32514,203,SEKER
32258,655,221,186,1.19,0.54,32612,203,SEKER
32262,652,223,185,1.21,0.56,32563,203,SEKER
32279,647,218,189,1.16,0.5,32623,203,SEKER
32323,650,217,190,1.15,0.49,32615,203,SEKER
32338,654,221,186,1.19,0.54,32672,203,SEKER
32355,657,221,186,1.19,0.54,32720,203,SEKER
32368,675,222,186,1.19,0.54,32806,203,SEKER
32376,643,219,188,1.16,0.51,32608,203,SEKER
32433,654,220,188,1.17,0.52,32775,203,SEKER
32465,654,225,184,1.23,0.58,32767,203,SEKER
32514,649,221,187,1.18,0.53,32843,203,SEKER
32518,652,221,187,1.18,0.53,32811,203,SEKER
32518,655,221,188,1.18,0.53,32842,203,SEKER
32525,664,225,184,1.22,0.57,33000,203,SEKER
32578,658,227,183,1.24,0.59,32901,204,SEKER
32581,650,224,185,1.21,0.57,32851,204,SEKER
32615,665,218,191,1.14,0.48,33016,204,SEKER
32622,657,235,177,1.33,0.66,32902,204,SEKER
32698,653,225,185,1.22,0.57,32994,204,SEKER
32705,654,224,186,1.2,0.56,33021,204,SEKER
32713,660,215,193,1.11,0.44,33020,204,SEKER
32729,657,214,195,1.1,0.42,33066,204,SEKER
32774,661,223,187,1.19,0.54,33120,204,SEKER
32775,650,220,190,1.16,0.51,33062,204,SEKER
32795,651,225,186,1.21,0.57,33091,204,SEKER
32796,655,223,187,1.19,0.54,33111,204,SEKER
32799,654,220,190,1.16,0.5,33087,204,SEKER
32829,658,222,189,1.17,0.52,33154,204,SEKER
32836,669,218,192,1.14,0.48,33225,204,SEKER
32849,664,231,182,1.27,0.62,33245,205,SEKER
32870,656,220,190,1.16,0.51,33198,205,SEKER
32885,660,227,185,1.23,0.58,33225,205,SEKER
32920,672,219,191,1.14,0.49,33376,205,SEKER
32925,657,225,186,1.21,0.56,33252,205,SEKER
32934,668,221,190,1.17,0.52,33401,205,SEKER
32947,668,210,200,1.05,0.3,33336,205,SEKER
32951,688,227,186,1.22,0.57,33524,205,SEKER
32988,677,225,187,1.2,0.55,33461,205,SEKER
33006,670,224,188,1.19,0.54,33458,205,SEKER
33010,666,225,187,1.2,0.56,33374,205,SEKER
33013,653,224,188,1.19,0.54,33289,205,SEKER
33019,656,224,188,1.2,0.55,33340,205,SEKER
33051,663,219,192,1.14,0.48,33423,205,SEKER
33058,656,224,188,1.19,0.55,33320,205,SEKER
33062,668,222,190,1.17,0.52,33439,205,SEKER
33078,659,236,179,1.32,0.65,33333,205,SEKER
33078,652,221,190,1.16,0.51,33327,205,SEKER
33089,664,217,194,1.12,0.45,33466,205,SEKER
33090,654,228,185,1.24,0.59,33352,205,SEKER
33143,648,223,190,1.17,0.52,33377,205,SEKER
33159,654,222,190,1.17,0.52,33415,205,SEKER
33168,681,234,181,1.3,0.64,33542,206,SEKER
33171,654,222,190,1.17,0.52,33429,206,SEKER
33194,665,232,182,1.28,0.62,33520,206,SEKER
33236,661,211,201,1.05,0.3,33611,206,SEKER
33248,660,231,183,1.26,0.61,33511,206,SEKER
33251,659,217,195,1.12,0.44,33565,206,SEKER
33276,704,235,181,1.3,0.64,33857,206,SEKER
33316,671,229,185,1.24,0.59,33699,206,SEKER
33319,669,225,189,1.19,0.54,33732,206,SEKER
33325,674,224,190,1.18,0.53,33701,206,SEKER
33330,654,224,189,1.18,0.54,33580,206,SEKER
33333,679,221,193,1.14,0.49,33834,206,SEKER
33338,659,232,183,1.27,0.62,33639,206,SEKER
33344,662,225,189,1.19,0.55,33692,206,SEKER
33382,659,223,191,1.17,0.52,33730,206,SEKER
33399,665,222,192,1.15,0.5,33752,206,SEKER
33421,655,220,194,1.13,0.47,33691,206,SEKER
33423,659,224,190,1.18,0.53,33707,206,SEKER
33427,666,228,187,1.22,0.58,33789,206,SEKER
33429,659,229,186,1.24,0.59,33713,206,SEKER
33431,667,220,194,1.14,0.47,33788,206,SEKER
33433,657,225,190,1.19,0.54,33708,206,SEKER
33446,656,224,190,1.18,0.53,33713,206,SEKER
33447,664,226,189,1.2,0.55,33791,206,SEKER
33459,655,219,195,1.13,0.46,33765,206,SEKER
33468,660,224,190,1.18,0.53,33748,206,SEKER
33498,658,228,187,1.22,0.57,33745,207,SEKER
33534,657,219,195,1.12,0.45,33793,207,SEKER
33538,658,228,188,1.21,0.56,33800,207,SEKER
33539,662,224,191,1.17,0.52,33915,207,SEKER
33547,654,214,200,1.07,0.35,33832,207,SEKER
33560,669,228,188,1.21,0.57,33897,207,SEKER
33576,666,225,190,1.18,0.53,33927,207,SEKER
33583,658,222,193,1.15,0.49,33868,207,SEKER
33584,659,224,191,1.17,0.52,33884,207,SEKER
33607,690,215,200,1.08,0.37,34162,207,SEKER
33620,670,223,192,1.16,0.51,34012,207,SEKER
33623,659,217,197,1.1,0.42,33918,207,SEKER
33631,669,225,191,1.18,0.53,34009,207,SEKER
33639,663,225,191,1.18,0.53,33919,207,SEKER
33717,664,232,186,1.25,0.6,33985,207,SEKER
33731,672,231,186,1.24,0.59,34073,207,SEKER
33736,656,221,194,1.14,0.48,33988,207,SEKER
33794,666,219,197,1.11,0.44,34127,207,SEKER
33809,669,230,187,1.23,0.58,34143,207,SEKER
33824,656,221,195,1.13,0.47,34079,208,SEKER
33838,661,223,193,1.15,0.5,34146,208,SEKER
33845,671,226,191,1.19,0.54,34159,208,SEKER
33849,670,222,195,1.14,0.48,34239,208,SEKER
33858,664,234,184,1.27,0.62,34142,208,SEKER
33860,683,226,192,1.18,0.53,34319,208,SEKER
33864,663,221,195,1.13,0.47,34167,208,SEKER
33866,668,231,187,1.24,0.59,34171,208,SEKER
33876,667,228,189,1.21,0.56,34211,208,SEKER
33930,666,224,193,1.16,0.51,34251,208,SEKER
33946,667,232,187,1.24,0.59,34246,208,SEKER
33946,669,235,184,1.27,0.62,34280,208,SEKER
33961,690,238,182,1.31,0.65,34379,208,SEKER
33961,667,233,186,1.26,0.6,34279,208,SEKER
33969,666,222,195,1.14,0.48,34260,208,SEKER
33972,673,233,186,1.25,0.6,34349,208,SEKER
33993,669,220,197,1.11,0.44,34299,208,SEKER
33996,664,223,194,1.15,0.49,34285,208,SEKER
34004,660,229,189,1.21,0.56,34277,208,SEKER
34027,670,232,187,1.24,0.59,34334,208,SEKER
34036,666,227,191,1.19,0.54,34369,208,SEKER
34051,677,228,191,1.19,0.55,34502,208,SEKER
34053,672,232,187,1.24,0.6,34362,208,SEKER
34060,662,220,197,1.12,0.45,34367,208,SEKER
34082,668,231,188,1.22,0.58,34364,208,SEKER
34097,681,228,191,1.19,0.55,34502,208,SEKER
34104,667,229,190,1.21,0.56,34421,208,SEKER
34113,674,221,197,1.13,0.46,34492,208,SEKER
34130,667,236,185,1.27,0.62,34392,208,SEKER
34131,668,224,194,1.16,0.5,34473,208,SEKER
34151,674,232,188,1.23,0.58,34580,209,SEKER
34151,662,227,192,1.18,0.53,34389,209,SEKER
34179,677,225,194,1.16,0.51,34576,209,SEKER
34191,661,224,194,1.15,0.5,34445,209,SEKER
34207,669,228,191,1.19,0.54,34515,209,SEKER
34207,661,227,192,1.18,0.53,34421,209,SEKER
34220,678,233,187,1.25,0.6,34577,209,SEKER
34222,672,223,195,1.14,0.49,34576,209,SEKER
34239,666,233,188,1.24,0.59,34510,209,SEKER
34246,684,230,190,1.21,0.56,34732,209,SEKER
34253,673,228,191,1.19,0.54,34556,209,SEKER
34254,669,224,195,1.15,0.49,34575,209,SEKER
34259,676,228,192,1.19,0.54,34623,209,SEKER
34276,690,230,190,1.21,0.56,34738,209,SEKER
34291,672,231,190,1.22,0.57,34619,209,SEKER
34313,672,221,198,1.12,0.44,34600,209,SEKER
34321,670,228,192,1.19,0.54,34652,209,SEKER
34327,677,231,189,1.22,0.57,34714,209,SEKER
34333,666,229,191,1.2,0.55,34592,209,SEKER
34337,668,230,191,1.21,0.56,34583,209,SEKER
34349,675,238,184,1.3,0.64,34645,209,SEKER
34390,680,245,179,1.37,0.68,34759,209,SEKER
34394,670,231,190,1.22,0.57,34730,209,SEKER
34395,665,232,189,1.22,0.58,34638,209,SEKER
34397,679,230,191,1.2,0.56,34776,209,SEKER
34410,684,232,189,1.23,0.58,34802,209,SEKER
34412,667,234,187,1.25,0.6,34677,209,SEKER
34419,688,224,196,1.15,0.49,34885,209,SEKER
34421,678,232,189,1.23,0.58,34762,209,SEKER
34425,681,233,189,1.23,0.59,34791,209,SEKER
34428,688,230,191,1.2,0.55,34908,209,SEKER
34441,676,229,192,1.19,0.54,34826,209,SEKER
34443,685,235,188,1.25,0.6,34874,209,SEKER
34447,683,225,195,1.15,0.5,34853,209,SEKER
34461,676,247,178,1.38,0.69,34691,209,SEKER
34469,667,230,191,1.21,0.56,34747,209,SEKER
34474,672,226,195,1.16,0.51,34774,210,SEKER
34475,678,241,182,1.32,0.65,34878,210,SEKER
34483,688,234,189,1.24,0.59,35051,210,SEKER
34491,675,233,189,1.24,0.59,34829,210,SEKER
34503,678,237,186,1.27,0.62,34885,210,SEKER
34509,668,230,191,1.21,0.56,34776,210,SEKER
34521,668,225,196,1.15,0.49,34830,210,SEKER
34523,674,232,190,1.22,0.58,34878,210,SEKER
34532,690,217,203,1.07,0.36,35057,210,SEKER
34543,671,235,187,1.25,0.6,34826,210,SEKER
34543,669,227,194,1.17,0.52,34827,210,SEKER
34594,670,233,189,1.24,0.59,34848,210,SEKER
34600,673,231,190,1.22,0.57,34919,210,SEKER
34601,686,227,195,1.16,0.51,35048,210,SEKER
34622,683,236,187,1.26,0.61,35010,210,SEKER
34623,675,228,194,1.18,0.53,34965,210,SEKER
34626,668,232,190,1.22,0.57,34913,210,SEKER
34629,671,233,190,1.23,0.58,34915,210,SEKER
34631,670,229,192,1.19,0.54,34953,210,SEKER
34635,668,227,194,1.17,0.52,34929,210,SEKER
34638,677,235,188,1.25,0.6,34989,210,SEKER
34666,681,226,196,1.15,0.5,35034,210,SEKER
34671,675,236,188,1.26,0.6,35015,210,SEKER
34676,668,226,195,1.16,0.51,34982,210,SEKER
34680,670,231,191,1.21,0.56,34941,210,SEKER
34700,690,234,190,1.23,0.58,35154,210,SEKER
34703,676,231,192,1.2,0.56,35025,210,SEKER
34722,670,227,195,1.17,0.52,34999,210,SEKER
34729,671,229,194,1.18,0.53,35043,210,SEKER
34733,671,228,194,1.18,0.53,35019,210,SEKER
34747,672,235,189,1.24,0.59,35043,210,SEKER
34748,669,221,200,1.1,0.42,35046,210,SEKER
34750,676,223,199,1.12,0.46,35091,210,SEKER
34757,687,231,192,1.21,0.56,35150,210,SEKER
34761,688,230,193,1.19,0.54,35171,210,SEKER
34766,669,232,191,1.22,0.57,35054,210,SEKER
34771,683,231,192,1.2,0.55,35163,210,SEKER
34772,672,228,194,1.17,0.52,35103,210,SEKER
34774,678,229,194,1.18,0.53,35139,210,SEKER
34787,677,231,193,1.2,0.55,35126,210,SEKER
34792,692,228,194,1.17,0.52,35231,210,SEKER
34794,694,237,187,1.27,0.62,35187,210,SEKER
34794,671,237,187,1.26,0.61,35052,210,SEKER
34800,672,227,196,1.16,0.51,35120,210,SEKER
34841,676,232,192,1.21,0.56,35137,211,SEKER
34841,670,224,199,1.13,0.46,35122,211,SEKER
34847,687,236,188,1.26,0.61,35229,211,SEKER
34850,674,230,193,1.2,0.55,35119,211,SEKER
34865,680,225,198,1.14,0.48,35256,211,SEKER
34878,672,225,197,1.14,0.48,35188,211,SEKER
34878,679,229,194,1.18,0.53,35217,211,SEKER
